trade_id,variant,side,signal_time,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_reason,status,lot_size,pnl_points,gross_pnl,commission,fees,net_pnl,pnl_r,mae_points,mfe_points,bars_held,costs_included
"TR000206","KEEPER_SL12_TP36",sell,"2026-03-16T12:49:00+00:00","2026-03-16T12:49:00+00:00",24496.00000000,24508.00000000,24460.00000000,"2026-03-16T13:09:00+00:00",24508.00000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,17.30000000,23.70000000,20,false
"TR000207","KEEPER_SL12_TP36",sell,"2026-03-16T13:35:00+00:00","2026-03-16T13:35:00+00:00",24550.10000000,24562.10000000,24514.10000000,"2026-03-16T13:42:00+00:00",24562.10000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,32.60000000,8.50000000,7,false
"TR000208","KEEPER_SL12_TP36",sell,"2026-03-16T13:43:00+00:00","2026-03-16T13:43:00+00:00",24558.40000000,24570.40000000,24522.40000000,"2026-03-16T13:49:00+00:00",24570.40000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,20.30000000,14.80000000,6,false
"TR000209","KEEPER_SL12_TP36",sell,"2026-03-17T09:25:00+00:00","2026-03-17T09:25:00+00:00",24530.80000000,24542.80000000,24494.80000000,"2026-03-17T09:33:00+00:00",24542.80000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,12.50000000,10.00000000,8,false
"TR000210","KEEPER_SL12_TP36",sell,"2026-03-17T12:38:00+00:00","2026-03-17T12:38:00+00:00",24606.60000000,24618.60000000,24570.60000000,"2026-03-17T12:44:00+00:00",24618.60000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,12.70000000,11.10000000,6,false
"TR000211","KEEPER_SL12_TP36",sell,"2026-03-19T08:56:00+00:00","2026-03-19T08:56:00+00:00",24384.00000000,24396.00000000,24348.00000000,"2026-03-19T09:05:00+00:00",24396.00000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,12.40000000,18.30000000,9,false
"TR000212","KEEPER_SL12_TP36",sell,"2026-03-19T09:10:00+00:00","2026-03-19T09:10:00+00:00",24389.70000000,24401.70000000,24353.70000000,"2026-03-19T09:16:00+00:00",24401.70000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,16.00000000,7.90000000,6,false
"TR000213","KEEPER_SL12_TP36",sell,"2026-03-19T09:20:00+00:00","2026-03-19T09:20:00+00:00",24401.00000000,24413.00000000,24365.00000000,"2026-03-19T09:35:00+00:00",24365.00000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,8.40000000,43.10000000,15,false
"TR000214","KEEPER_SL12_TP36",sell,"2026-03-19T10:00:00+00:00","2026-03-19T10:00:00+00:00",24380.80000000,24392.80000000,24344.80000000,"2026-03-19T10:02:00+00:00",24344.80000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,36.10000000,2,false
"TR000215","KEEPER_SL12_TP36",sell,"2026-03-20T11:36:00+00:00","2026-03-20T11:36:00+00:00",24382.80000000,24394.80000000,24346.80000000,"2026-03-20T11:43:00+00:00",24346.80000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,37.00000000,7,false
"TR000216","KEEPER_SL12_TP36",sell,"2026-03-20T12:39:00+00:00","2026-03-20T12:39:00+00:00",24300.30000000,24312.30000000,24264.30000000,"2026-03-20T12:41:00+00:00",24264.30000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,42.00000000,2,false
"TR000217","KEEPER_SL12_TP36",sell,"2026-03-23T06:35:00+00:00","2026-03-23T06:35:00+00:00",23787.60000000,23799.60000000,23751.60000000,"2026-03-23T06:53:00+00:00",23751.60000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,37.80000000,18,false
"TR000218","KEEPER_SL12_TP36",sell,"2026-03-23T08:38:00+00:00","2026-03-23T08:38:00+00:00",23783.30000000,23795.30000000,23747.30000000,"2026-03-23T08:45:00+00:00",23747.30000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,36.20000000,7,false
"TR000219","KEEPER_SL12_TP36",sell,"2026-03-24T06:42:00+00:00","2026-03-24T06:42:00+00:00",24053.30000000,24065.30000000,24017.30000000,"2026-03-24T07:00:00+00:00",24065.30000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,17.10000000,13.60000000,18,false
"TR000220","KEEPER_SL12_TP36",sell,"2026-03-24T08:22:00+00:00","2026-03-24T08:22:00+00:00",24035.90000000,24047.90000000,23999.90000000,"2026-03-24T08:28:00+00:00",23999.90000000,TP,closed,0.10,36.00000000,72.00000000,0.00000000,0.00000000,72.00000000,3.00000000,0.00000000,55.70000000,6,false
"TR000221","KEEPER_SL12_TP36",sell,"2026-03-24T09:13:00+00:00","2026-03-24T09:13:00+00:00",24070.00000000,24082.00000000,24034.00000000,"2026-03-24T09:16:00+00:00",24082.00000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,24.70000000,2.60000000,3,false
"TR000222","KEEPER_SL12_TP36",sell,"2026-03-24T09:45:00+00:00","2026-03-24T09:45:00+00:00",24136.10000000,24148.10000000,24100.10000000,"2026-03-24T09:46:00+00:00",24148.10000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,17.60000000,5.80000000,1,false
"TR000223","KEEPER_SL12_TP36",sell,"2026-03-24T10:56:00+00:00","2026-03-24T10:56:00+00:00",24248.70000000,24260.70000000,24212.70000000,"2026-03-24T11:00:00+00:00",24260.70000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,19.60000000,10.90000000,4,false
"TR000224","KEEPER_SL12_TP36",sell,"2026-03-24T11:01:00+00:00","2026-03-24T11:01:00+00:00",24251.10000000,24263.10000000,24215.10000000,"2026-03-24T11:05:00+00:00",24263.10000000,SL,closed,0.10,-12.00000000,-24.00000000,0.00000000,0.00000000,-24.00000000,-1.00000000,25.30000000,10.20000000,4,false
