run_id,variant_id,sl,activation,distance,cost_scenario,period,trades,net_points,profit_factor,expectancy
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,20,52.5,57.5,30.0,SPREAD_PLUS_50,DEVELOPMENT,88,138.08999999999787,1.13205255708985,1.5692045454545214
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,20,52.5,57.5,30.0,SPREAD_PLUS_50,VALIDATION,51,965.5500000000011,2.233189011073225,18.932352941176493
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,20,52.5,57.5,30.0,SPREAD_PLUS_50,LOCKED_OOS,65,589.2699999999973,1.6206173840693385,9.065692307692265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,20,52.5,57.5,30.0,SPREAD_PLUS_50,H1,139,1103.639999999999,1.6035139908896536,7.939856115107906
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,20,52.5,57.5,30.0,SPREAD_PLUS_50,H2,65,589.2699999999973,1.6206173840693385,9.065692307692265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,20,52.5,57.5,30.0,SPREAD_PLUS_50,ALL,204,1692.9099999999962,1.6093593647639814,8.29857843137253
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,21,52.5,57.5,30.0,SLIPPAGE_BASE,DEVELOPMENT,88,138.08999999999787,1.13205255708985,1.5692045454545214
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,21,52.5,57.5,30.0,SLIPPAGE_BASE,VALIDATION,51,965.5500000000011,2.233189011073225,18.932352941176493
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,21,52.5,57.5,30.0,SLIPPAGE_BASE,LOCKED_OOS,65,589.2699999999973,1.6206173840693385,9.065692307692265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,21,52.5,57.5,30.0,SLIPPAGE_BASE,H1,139,1103.639999999999,1.6035139908896536,7.939856115107906
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,21,52.5,57.5,30.0,SLIPPAGE_BASE,H2,65,589.2699999999973,1.6206173840693385,9.065692307692265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,21,52.5,57.5,30.0,SLIPPAGE_BASE,ALL,204,1692.9099999999962,1.6093593647639814,8.29857843137253
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,22,52.5,57.5,30.0,COMMISSION_PLUS_25,DEVELOPMENT,88,138.08999999999787,1.13205255708985,1.5692045454545214
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,22,52.5,57.5,30.0,COMMISSION_PLUS_25,VALIDATION,51,965.5500000000011,2.233189011073225,18.932352941176493
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,22,52.5,57.5,30.0,COMMISSION_PLUS_25,LOCKED_OOS,65,589.2699999999973,1.6206173840693385,9.065692307692265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,22,52.5,57.5,30.0,COMMISSION_PLUS_25,H1,139,1103.639999999999,1.6035139908896536,7.939856115107906
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,22,52.5,57.5,30.0,COMMISSION_PLUS_25,H2,65,589.2699999999973,1.6206173840693385,9.065692307692265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,22,52.5,57.5,30.0,COMMISSION_PLUS_25,ALL,204,1692.9099999999962,1.6093593647639814,8.29857843137253
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,23,52.5,57.5,30.0,COMBINED_STRESS,DEVELOPMENT,88,138.08999999999787,1.13205255708985,1.5692045454545214
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,23,52.5,57.5,30.0,COMBINED_STRESS,VALIDATION,51,965.5500000000011,2.233189011073225,18.932352941176493
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,23,52.5,57.5,30.0,COMBINED_STRESS,LOCKED_OOS,65,589.2699999999973,1.6206173840693385,9.065692307692265
FIRST_TRIANGLE_GOLD_EVIDENCE_XAUUSD_1751328000,23,52.5,57.5,30.0,COMBINED_STRESS,H1,139,1103.639999999999,1.6035139908896536,7.939856115107906
